dataId,data,time,src
5,"[0.9006126972162051, 0.9012905412378731, 0.10033649346891016, 0.09935787497677316, 0.10198549679619573, 0.10145360818244448, 0.09947108151234421, 0.8975894880214312, 0.8999290720343849, 0.8995580353409377, 0.0995839985575067, 0.9013135136830803, 0.9000770050285415, 0.8964081019629591, 0.0994238591839272, 0.10405254787099215, 0.09993883924172561, 0.09605329153746414, 0.0985362305238306, 0.10135759952453499, 0.10143908254449094, 0.09745160694977921, 0.9038849099470774, 0.1031820289626713, 0.09686118383730229, 0.10380008403649767, 0.896155024153982, 0.09830471531173375, 0.09947392920582328, 0.09859694081124823, 0.09799017993133133, 0.09533568674467748, 0.09909356661638753, 0.9016473190186055, 0.10016254097698818, 0.9002520978349964, 0.10210495851774244, 0.09881138665068186, 0.8994004961645288, 0.10303688500787635, 0.9013972645329484, 0.10032726990632074, 0.893256571787306, 0.10058316724968415, 0.09962343098903517, 0.10156829430076864, 0.1001350781133967, 0.09903164459815747, 0.10518755450384544, 0.09798304641541916]",219,4
4,"[0.10061269721620852, 0.9012905412378731, 0.10033649346891016, 0.09935787497677316, 0.10198549679619573, 0.10145360818244448, 0.09947108151234421, 0.09758948802143705, 0.8999290720343849, 0.09955803534093756, 0.8995839985575078, 0.10131351368307973, 0.9000770050285415, 0.09640810196296497, 0.8994238591839224, 0.10405254787099215, 0.09993883924172561, 0.09605329153746414, 0.0985362305238306, 0.9013575995245321, 0.9014390825444873, 0.8974516069497741, 0.10388490994708363, 0.1031820289626713, 0.09686118383730229, 0.10380008403649767, 0.09615502415398514, 0.09830471531173375, 0.09947392920582328, 0.09859694081124823, 0.897990179931332, 0.09533568674467748, 0.09909356661638753, 0.9016473190186055, 0.9001625409769883, 0.10025209783499944, 0.10210495851774244, 0.09881138665068186, 0.09940049616453317, 0.9030368850078772, 0.9013972645329484, 0.10032726990632074, 0.09325657178731202, 0.10058316724968415, 0.8996234309890367, 0.10156829430076864, 0.1001350781133967, 0.09903164459815747, 0.9051875545038399, 0.09798304641541916]",219,4
128,[120.00300756148305],219,3
129,[0.0036],220,2
5,"[0.8959323579066378, 0.9013666736214873, 0.10273627108176146, 0.09999113199515333, 0.09751785141856875, 0.10147544886107035, 0.10159427351160945, 0.8992836852378601, 0.899392455959899, 0.901886705752603, 0.09817206638266761, 0.9002710634035509, 0.8986057656345154, 0.898786968086485, 0.10334509818232883, 0.10133609973627042, 0.10108001742974565, 0.09673991074728817, 0.0996337673664382, 0.1032269742437802, 0.10047244518916046, 0.10172385195803395, 0.8966674824092344, 0.10160017562288826, 0.10115176892579669, 0.09635187984828242, 0.8991818733121794, 0.09831843515648332, 0.10383916000704177, 0.09992555174840075, 0.10038976985043341, 0.09787768336225393, 0.1028199340833299, 0.8954074516955789, 0.09728620265747817, 0.8976569775404198, 0.09976542094246975, 0.10042048278442106, 0.899684886836333, 0.10251978377984029, 0.8996714914366484, 0.10111943618230042, 0.900332367056228, 0.10130451827708221, 0.10264023583512925, 0.10009912638726134, 0.09808337182220084, 0.10052480024225742, 0.09715553762132606, 0.10141859475960299]",220,4
4,"[0.09593235790664104, 0.9013666736214873, 0.10273627108176146, 0.09999113199515333, 0.09751785141856875, 0.10147544886107035, 0.10159427351160945, 0.09928368523786565, 0.899392455959899, 0.1018867057526025, 0.8981720663826693, 0.10027106340355124, 0.8986057656345154, 0.09878696808649011, 0.9033450981823252, 0.10133609973627042, 0.10108001742974565, 0.09673991074728817, 0.0996337673664382, 0.9032269742437774, 0.9004724451891577, 0.9017238519580291, 0.09666748240923977, 0.10160017562288826, 0.10115176892579669, 0.09635187984828242, 0.09918187331218262, 0.09831843515648332, 0.10383916000704177, 0.09992555174840075, 0.9003897698504341, 0.09787768336225393, 0.1028199340833299, 0.8954074516955789, 0.8972862026574788, 0.09765697754042209, 0.09976542094246975, 0.10042048278442106, 0.099684886836337, 0.9025197837798414, 0.8996714914366484, 0.10111943618230042, 0.10033236705623347, 0.10130451827708221, 0.9026402358351305, 0.10009912638726134, 0.09808337182220084, 0.10052480024225742, 0.8971555376213203, 0.10141859475960299]",220,4
6,[0.9011140487243382],220,2
7,[1.0],220,3
128,[120.00302043664938],220,3
3,"[0.11165812798633637, 0.7770656572593866, 0.1119142596061159, 0.007166172825485426]",220,3
